Run_ID,Condition,Time_Period,ID,Name,Pool_Total_Revenue,Output,Capacity,Capability,Dispatch_Cost,Incr_Cost,Full_Load_Cost,Net_Cost,Fixed_Cost,Variable_OM_Cost,Fixed_Cost_Base,Variable_OM_Cost_Base,Fixed_Cost_Aux1,Variable_OM_Cost_Aux1,Fixed_Cost_Aux2,Variable_OM_Cost_Aux2,Fuel_Usage,Output_MWH,Output_MWH_Primary,Output_MWH_Secondary,Percent_Marginal,Percent_Committed,Primary_Fuel_Usage,Revenue,Energy_Revenue,Capacity_Revenue,Secondary_Fuel_Usage,Total_Fuel_Cost,Value,Forced_Outage,Maint_Outage,Used_For_Op_Reserve,Spin_Reserve,Spin_Reserve_Revenue,Non_Spin_Reserve,Non_Spin_Reserve_Revenue,Input_Spin_Reserve,Input_Spin_Reserve_Revenue,Report_Year,Report_Month,Report_Day,Report_Hour,LT_Iteration,Risk_Iteration,Study_Info,Record_Number,Total_Hours_Run
Base Case,Average,2021,AB_OtherTech_NG,AB_OtherTech_NG,4139225046,89.2878418,97.98904419,89,75.5,35.95,37.62,38.92,"4,049.00","6,033.00","4,049.00","6,033.00",0,0,.,0,"5,799,727.50",782161.5,782161.5,0,0,0,5799727.5,37276.51953,37276.51953,0,.,23173.06,"3,754.00",4.77,3.930410862,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,394,8760
Base Case,Average,2021,AB_SCCT_NG,AB_SCCT_NG,4139225046,5383.274902,7358.787598,"6,884.00",60.62,26.28,27.05,18.79,"294,445.00","233,227.00","215,116.00","233,227.00",79329.43,0,.,0,"153,272,160.00",47157488,47157488,0,30.21,0.07,153272160,2229228.25,2229228.25,0,.,617422.94,"1,077,046.00",285.35,189.113327,25.43545723,25.02828407,0,0.407172501,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,395,8760
Base Case,Average,2021,AB_SCCT_OT,AB_SCCT_OT,4139225046,85.62976837,94,86,10.24,4.88,4.9,5.06,"5,155.00","3,009.00","5,155.00","3,009.00",0,0,.,0,"8,171,485.00",750116.81,750116.81,0,0,0,8171485,35637.24609,35637.24609,0,.,663.43,"26,810.00",3.67,4.699999809,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,396,8760
Base Case,Average,2021,AB_ST_Coal,AB_ST_Coal,4139225046,73.84373474,1756.030151,"1,518.00",679.7,58.79,60.07,61.51,"125,161.00","6,691.00","125,161.00","6,691.00",0,0,.,0,"5,994,313.50",646871.13,646871.13,0,5.27,4.66,5994313.5,38768.46875,38768.46875,0,.,20503.91,"-124,888.00",80.03,157.7972565,0.277038425,0.263009936,0,0.014028515,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,397,1510
Base Case,Average,2021,AB_ST_OT,AB_ST_OT,4139225046,301.9983521,340,302,9.13,4.35,4.36,4.51,"26,159.00","10,610.00","26,159.00","10,610.00",0,0,.,0,"11,481,031.00",2645505.5,2645505.5,0,0,0,11481031,125685.1406,125685.1406,0,.,932.13,"87,984.00",21,17,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,398,8760
Base Case,Average,2021,AB_ST_SUN,AB_ST_SUN,4139225046,3.634100437,15,4,0,0,0,0,514,.,514,.,0,0,.,0,0,31834.72,31834.72,0,0,0,0,1527.11438,1527.11438,0,.,0,"1,013.00",9.87,1.5,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,399,4617
Base Case,Average,2021,AB_WT_WND,AB_WT_WND,4139225046,478.4705505,1445,478,-5.41,-2.58,-2.58,-2.68,"47,123.00","-10,885.00","47,123.00","15,375.00",0,-26260.44,.,0,0,4191402,4191402,0,0,0,0,195183.3906,195183.3906,0,.,0,"158,946.00",966.62,0,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,400,8687
Base Case,Average,2021,AB_Renewables,Alberta Renewables Group,4139225046,1120.253784,2788,"1,120.00",3.12,1.49,1.49,1.11,"107,717.00","8,933.00","107,717.00","35,194.00",0,-26260.44,.,0,"19,652,516.00",9813423,9813423,0,0,0,19652516,460369.2813,460369.2813,0,.,1595.57,"342,123.00",1001.15,23.20000076,601.4562378,601.4562378,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,401,8760
Base Case,Average,2021,Intertie,AB Interties,4139225046,2006.309692,2526,"2,526.00",87.93,41.87,41.87,43.5,.,.,.,.,0,0,.,0,"158,177,456.00",17575274,17575274,0,99.59,0,158177456,844020.4375,844020.4375,0,.,740089.19,"103,931.00",0,0,71.49751282,70.43644714,0,1.061073065,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 3:46:40 PM,402,8724
Forcing Wind,Average,2021,MRO,MidwestReliabilityOrganization,3949932534,272.2058411,306,306,87.93,41.87,41.87,43.27,.,.,.,.,0,0,.,0,"21,460,708.00",2384523.25,2384523.25,0,91.12,0,21460708,104873.7344,104873.7344,0,.,99879.73,"4,994.00",0,0,0,0,0,0,0,0,0,2021,,,,0,0,Nominal | 7/20/2020 7:19:03 PM,780,7982
